RunNumber,Data Type,Data Record ID,Model,Time,Missile Position - East,Missile Position - North,Missile Position - Up,Target Position - East,Target Position - North,Target Position - Up,Instance,Path
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_269.MISSILE_BRAVER_269,BRAVER,152.142,276.2481408506337,-76.20161744241307,1126.845569711403,-449.8647062579548,2397.527569430815,0.0,269,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_222.MISSILE_BRAVER_222,BRAVER,152.142,145.1201543541583,-99.69278756870527,990.4853021838887,-735.6135249747338,1008.033335292529,0.0,222,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_117.MISSILE_BRAVER_117,BRAVER,152.142,120.7052764242905,-103.0446602010999,796.4776903728675,-1232.805251386685,2957.377440947631,0.0,117,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_SOMERSAULT_State_Update,MISSILE_SOMERSAULT_108.MISSILE_SOMERSAULT_108,SOMERSAULT,152.142,217.5822204761107,-99.96968911623955,808.7302928991427,-2209.813864900824,2218.227252465272,0.0,108,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
971,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_419.MISSILE_HELLMASKER_419,HELLMASKER,152.142,208.2464562333562,-143.6059762851652,1337.402181262413,-1880.679235551066,2810.158423695445,0.0,419,C:\Users\white\Documents\etesim_gui_test\runs\run971\NotionalETEOutput971.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_392.MISSILE_HELLMASKER_392,HELLMASKER,153.142,313.0411665869849,-81.55521289619892,973.2423144387834,-1417.75940865411,946.6771489635362,289.507094417267,392,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_SOMERSAULT_State_Update,MISSILE_SOMERSAULT_298.MISSILE_SOMERSAULT_298,SOMERSAULT,153.142,232.3102938129604,-124.124970775103,867.8969067102798,-1297.411246621717,2026.729636148578,389.5677539972946,298,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_71.MISSILE_HELLMASKER_71,HELLMASKER,153.142,233.0837610382167,-121.1973651376183,936.3797094269843,-2061.822516611329,1204.146861584647,145.5548090396401,71,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_200.MISSILE_HELLMASKER_200,HELLMASKER,153.142,132.707547480024,-90.94865344012294,936.5625415472814,-1642.520643177483,1259.608893884077,333.7678932910207,200,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
708,Missile_BRAVER_State_Update,MISSILE_BRAVER_259.MISSILE_BRAVER_259,BRAVER,153.142,281.8416054706128,-63.60849505983672,445.1400166036313,-1792.84731938902,2221.563971811868,267.8456407079808,259,C:\Users\white\Documents\etesim_gui_test\runs\run708\NotionalETEOutput708.xlsx
708,Missile_HIGHWIND_State_Update,MISSILE_HIGHWIND_26.MISSILE_HIGHWIND_26,HIGHWIND,153.142,240.5732305623948,-102.6982837471397,738.5042918601926,-940.2955280629413,1344.868855267311,110.4127678046178,26,C:\Users\white\Documents\etesim_gui_test\runs\run708\NotionalETEOutput708.xlsx
947,Missile_HIGHWIND_State_Update,MISSILE_HIGHWIND_400.MISSILE_HIGHWIND_400,HIGHWIND,153.142,199.001430304765,-94.60296386798939,1317.029779673929,-1631.979062017287,1506.867093458831,267.1215892959304,400,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_73.MISSILE_HELLMASKER_73,HELLMASKER,153.142,163.9679229447482,-89.78994888577758,976.1883901996171,-1382.300452315934,1172.36417905963,320.3789112968797,73,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_BRAVER_State_Update,MISSILE_BRAVER_219.MISSILE_BRAVER_219,BRAVER,153.142,194.5795648949402,-118.1979874245498,742.1961236838071,-1570.611717175079,1546.584918430631,424.0174862794904,219,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_BRAVER_State_Update,MISSILE_BRAVER_113.MISSILE_BRAVER_113,BRAVER,153.142,290.932151824077,-98.82041253110428,621.0811442285064,-2066.65633541411,1692.60780093015,243.0474140759032,113,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_269.MISSILE_BRAVER_269,BRAVER,153.142,276.2481408506337,-76.20161744241307,1126.845569711403,-440.9831790848821,2339.205807385458,426.8047058696304,269,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_222.MISSILE_BRAVER_222,BRAVER,153.142,145.1201543541583,-99.69278756870527,990.4853021838887,-721.0905552461489,983.5121239144778,277.8319595590782,222,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_117.MISSILE_BRAVER_117,BRAVER,153.142,120.7052764242905,-103.0446602010999,796.4776903728675,-1208.466393087765,2885.436886190965,329.6816599420787,117,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_SOMERSAULT_State_Update,MISSILE_SOMERSAULT_108.MISSILE_SOMERSAULT_108,SOMERSAULT,153.142,217.5822204761107,-99.96968911623955,808.7302928991427,-2166.186255053841,2164.267113015647,179.944335195798,108,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
971,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_419.MISSILE_HELLMASKER_419,HELLMASKER,153.142,208.2464562333562,-143.6059762851652,1337.402181262413,-1843.549619686507,2741.799088442658,420.2047094480097,419,C:\Users\white\Documents\etesim_gui_test\runs\run971\NotionalETEOutput971.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_392.MISSILE_HELLMASKER_392,HELLMASKER,154.142,313.0411665869849,-81.55521289619892,973.2423144387834,-1388.502211310751,923.0743179337438,564.5780380540092,392,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_SOMERSAULT_State_Update,MISSILE_SOMERSAULT_298.MISSILE_SOMERSAULT_298,SOMERSAULT,154.142,232.3102938129604,-124.124970775103,867.8969067102798,-1270.637580620136,1976.19862122183,759.7098740658066,298,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_71.MISSILE_HELLMASKER_71,HELLMASKER,154.142,233.0837610382167,-121.1973651376183,936.3797094269843,-2019.274290242835,1174.124720519814,283.8515881012715,71,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_200.MISSILE_HELLMASKER_200,HELLMASKER,154.142,132.707547480024,-90.94865344012294,936.5625415472814,-1608.625223189684,1228.203957239604,650.8925894854527,200,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
708,Missile_BRAVER_State_Update,MISSILE_BRAVER_259.MISSILE_BRAVER_259,BRAVER,154.142,281.8416054706128,-63.60849505983672,445.1400166036313,-1755.849724797375,2166.175290352768,522.3352700099211,259,C:\Users\white\Documents\etesim_gui_test\runs\run708\NotionalETEOutput708.xlsx
708,Missile_HIGHWIND_State_Update,MISSILE_HIGHWIND_26.MISSILE_HIGHWIND_26,HIGHWIND,154.142,240.5732305623948,-102.6982837471397,738.5042918601926,-920.8913811691249,1311.338192376739,215.3198488925392,26,C:\Users\white\Documents\etesim_gui_test\runs\run708\NotionalETEOutput708.xlsx
947,Missile_HIGHWIND_State_Update,MISSILE_HIGHWIND_400.MISSILE_HIGHWIND_400,HIGHWIND,154.142,199.001430304765,-94.60296386798939,1317.029779673929,-1598.301180434406,1469.297443203512,520.9232717081577,400,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_73.MISSILE_HELLMASKER_73,HELLMASKER,154.142,163.9679229447482,-89.78994888577758,976.1883901996171,-1353.774993853548,1143.134453113439,624.7822615122889,73,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_BRAVER_State_Update,MISSILE_BRAVER_219.MISSILE_BRAVER_219,BRAVER,154.142,194.5795648949402,-118.1979874245498,742.1961236838071,-1538.200225719836,1508.025011768778,826.8915170667042,219,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_BRAVER_State_Update,MISSILE_BRAVER_113.MISSILE_BRAVER_113,BRAVER,154.142,290.932151824077,-98.82041253110428,621.0811442285064,-2024.008357289591,1650.407209135152,473.9753699966315,113,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_269.MISSILE_BRAVER_269,BRAVER,154.142,276.2481408506337,-76.20161744241307,1126.845569711403,-431.8829524760276,2280.884045340101,832.3269727020638,269,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_222.MISSILE_BRAVER_222,BRAVER,154.142,145.1201543541583,-99.69278756870527,990.4853021838887,-706.2099707488851,958.9909125364268,541.8099440785578,222,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_117.MISSILE_BRAVER_117,BRAVER,154.142,120.7052764242905,-103.0446602010999,796.4776903728675,-1183.528212794573,2813.496331434299,642.9238811129683,117,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_SOMERSAULT_State_Update,MISSILE_SOMERSAULT_108.MISSILE_SOMERSAULT_108,SOMERSAULT,154.142,217.5822204761107,-99.96968911623955,808.7302928991427,-2121.484355451041,2110.306973566023,350.9158210035125,108,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
971,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_419.MISSILE_HELLMASKER_419,HELLMASKER,154.142,208.2464562333562,-143.6059762851652,1337.402181262413,-1805.505721189903,2673.439753189871,819.456085933702,419,C:\Users\white\Documents\etesim_gui_test\runs\run971\NotionalETEOutput971.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_392.MISSILE_HELLMASKER_392,HELLMASKER,155.142,313.0411665869849,-81.55521289619892,973.2423144387834,-1358.524582398941,899.4714869039514,825.2128309102287,392,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_SOMERSAULT_State_Update,MISSILE_SOMERSAULT_298.MISSILE_SOMERSAULT_298,SOMERSAULT,155.142,232.3102938129604,-124.124970775103,867.8969067102798,-1243.204637724587,1925.667606295082,1110.426360205539,298,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_71.MISSILE_HELLMASKER_71,HELLMASKER,155.142,233.0837610382167,-121.1973651376183,936.3797094269843,-1975.678352943667,1144.102579454981,414.8903371848951,71,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_200.MISSILE_HELLMASKER_200,HELLMASKER,155.142,132.707547480024,-90.94865344012294,936.5625415472814,-1573.895159667901,1196.799020595132,951.3740885832985,200,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
708,Missile_BRAVER_State_Update,MISSILE_BRAVER_259.MISSILE_BRAVER_259,BRAVER,155.142,281.8416054706128,-63.60849505983672,445.1400166036313,-1717.941098476073,2110.786608893668,763.4688879058228,259,C:\Users\white\Documents\etesim_gui_test\runs\run708\NotionalETEOutput708.xlsx
708,Missile_HIGHWIND_State_Update,MISSILE_HIGHWIND_26.MISSILE_HIGHWIND_26,HIGHWIND,155.142,240.5732305623948,-102.6982837471397,738.5042918601926,-901.0094250095358,1277.807529486166,314.7212432637649,26,C:\Users\white\Documents\etesim_gui_test\runs\run708\NotionalETEOutput708.xlsx
947,Missile_HIGHWIND_State_Update,MISSILE_HIGHWIND_400.MISSILE_HIGHWIND_400,HIGHWIND,155.142,199.001430304765,-94.60296386798939,1317.029779673929,-1563.794012000629,1431.727792948192,761.4050472366837,400,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_73.MISSILE_HELLMASKER_73,HELLMASKER,155.142,163.9679229447482,-89.78994888577758,976.1883901996171,-1324.547122219465,1113.904727167248,913.2100506462298,73,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_BRAVER_State_Update,MISSILE_BRAVER_219.MISSILE_BRAVER_219,BRAVER,155.142,194.5795648949402,-118.1979874245498,742.1961236838071,-1504.990631105534,1469.465105106924,1208.622092361644,219,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_BRAVER_State_Update,MISSILE_BRAVER_113.MISSILE_BRAVER_113,BRAVER,155.142,290.932151824077,-98.82041253110428,621.0811442285064,-1980.310211939175,1608.206617340154,692.7838677621863,113,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_269.MISSILE_BRAVER_269,BRAVER,155.142,276.2481408506337,-76.20161744241307,1126.845569711403,-422.5586411589849,2222.562283294744,1216.566800497303,269,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_222.MISSILE_BRAVER_222,BRAVER,155.142,145.1201543541583,-99.69278756870527,990.4853021838887,-690.9629655482626,934.4697011583756,791.933953558441,222,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_117.MISSILE_BRAVER_117,BRAVER,155.142,120.7052764242905,-103.0446602010999,796.4776903728675,-1157.975952754366,2741.555776677633,939.7266635126709,117,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_SOMERSAULT_State_Update,MISSILE_SOMERSAULT_108.MISSILE_SOMERSAULT_108,SOMERSAULT,155.142,217.5822204761107,-99.96968911623955,808.7302928991427,-2075.681712695516,2056.346834116399,512.9144574231447,108,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
971,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_419.MISSILE_HELLMASKER_419,HELLMASKER,155.142,208.2464562333562,-143.6059762851652,1337.402181262413,-1766.525026692566,2605.080417937084,1197.75412945708,419,C:\Users\white\Documents\etesim_gui_test\runs\run971\NotionalETEOutput971.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_392.MISSILE_HELLMASKER_392,HELLMASKER,156.142,313.0411665869849,-81.55521289619892,973.2423144387834,-1327.80878195409,875.868655874159,1071.411472985924,392,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_SOMERSAULT_State_Update,MISSILE_SOMERSAULT_298.MISSILE_SOMERSAULT_298,SOMERSAULT,156.142,232.3102938129604,-124.124970775103,867.8969067102798,-1215.09618384808,1875.136591368334,1441.717212416489,298,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_71.MISSILE_HELLMASKER_71,HELLMASKER,156.142,233.0837610382167,-121.1973651376183,936.3797094269843,-1931.008905796034,1114.080438390148,538.6710562905101,71,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_200.MISSILE_HELLMASKER_200,HELLMASKER,156.142,132.707547480024,-90.94865344012294,936.5625415472814,-1538.309900282967,1165.39408395066,1235.212390584556,200,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
708,Missile_BRAVER_State_Update,MISSILE_BRAVER_259.MISSILE_BRAVER_259,BRAVER,156.142,281.8416054706128,-63.60849505983672,445.1400166036313,-1679.099007106906,2055.397927434569,991.2464943956843,259,C:\Users\white\Documents\etesim_gui_test\runs\run708\NotionalETEOutput708.xlsx
708,Missile_HIGHWIND_State_Update,MISSILE_HIGHWIND_26.MISSILE_HIGHWIND_26,HIGHWIND,156.142,240.5732305623948,-102.6982837471397,738.5042918601926,-880.6378939705812,1244.276866595593,408.6169509182943,26,C:\Users\white\Documents\etesim_gui_test\runs\run708\NotionalETEOutput708.xlsx
947,Missile_HIGHWIND_State_Update,MISSILE_HIGHWIND_400.MISSILE_HIGHWIND_400,HIGHWIND,156.142,199.001430304765,-94.60296386798939,1317.029779673929,-1528.437136290184,1394.158142692872,988.5669158815068,400,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_73.MISSILE_HELLMASKER_73,HELLMASKER,156.142,163.9679229447482,-89.78994888577758,976.1883901996171,-1294.599541135542,1084.675001221057,1185.6622786987,73,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_BRAVER_State_Update,MISSILE_BRAVER_219.MISSILE_BRAVER_219,BRAVER,156.142,194.5795648949402,-118.1979874245498,742.1961236838071,-1470.963280776121,1430.905198445071,1569.209212164308,219,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_BRAVER_State_Update,MISSILE_BRAVER_113.MISSILE_BRAVER_113,BRAVER,156.142,290.932151824077,-98.82041253110428,621.0811442285064,-1935.536039961062,1566.006025545156,899.4729073725665,113,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_269.MISSILE_BRAVER_269,BRAVER,156.142,276.2481408506337,-76.20161744241307,1126.845569711403,-413.0047272539693,2164.240521249388,1579.524189255347,269,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_222.MISSILE_BRAVER_222,BRAVER,156.142,145.1201543541583,-99.69278756870527,990.4853021838887,-675.3405168715625,909.9484897803245,1028.203987998726,222,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_117.MISSILE_BRAVER_117,BRAVER,156.142,120.7052764242905,-103.0446602010999,796.4776903728675,-1131.794491818318,2669.615221920968,1220.090007141185,117,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_SOMERSAULT_State_Update,MISSILE_SOMERSAULT_108.MISSILE_SOMERSAULT_108,SOMERSAULT,156.142,217.5822204761107,-99.96968911623955,808.7302928991427,-2028.751221999795,2002.386694666775,665.9402444546935,108,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
971,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_419.MISSILE_HELLMASKER_419,HELLMASKER,156.142,208.2464562333562,-143.6059762851652,1337.402181262413,-1726.584468454813,2536.721082684297,1555.098840018141,419,C:\Users\white\Documents\etesim_gui_test\runs\run971\NotionalETEOutput971.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_392.MISSILE_HELLMASKER_392,HELLMASKER,157.142,313.0411665869849,-81.55521289619892,973.2423144387834,-1296.336633181302,852.2658248443665,1303.173964281096,392,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_SOMERSAULT_State_Update,MISSILE_SOMERSAULT_298.MISSILE_SOMERSAULT_298,SOMERSAULT,157.142,232.3102938129604,-124.124970775103,867.8969067102798,-1186.295585154166,1824.605576441586,1753.58243069866,298,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_71.MISSILE_HELLMASKER_71,HELLMASKER,157.142,233.0837610382167,-121.1973651376183,936.3797094269843,-1885.239514607528,1084.058297325315,655.1937454181177,71,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
443,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_200.MISSILE_HELLMASKER_200,HELLMASKER,157.142,132.707547480024,-90.94865344012294,936.5625415472814,-1501.848386623516,1133.989147306187,1502.407495489228,200,C:\Users\white\Documents\etesim_gui_test\runs\run443\NotionalETEOutput443.xlsx
708,Missile_BRAVER_State_Update,MISSILE_BRAVER_259.MISSILE_BRAVER_259,BRAVER,157.142,281.8416054706128,-63.60849505983672,445.1400166036313,-1639.300464971841,2000.009245975469,1205.668089479507,259,C:\Users\white\Documents\etesim_gui_test\runs\run708\NotionalETEOutput708.xlsx
708,Missile_HIGHWIND_State_Update,MISSILE_HIGHWIND_26.MISSILE_HIGHWIND_26,HIGHWIND,157.142,240.5732305623948,-102.6982837471397,738.5042918601926,-859.764732721257,1210.746203705021,497.0069718561281,26,C:\Users\white\Documents\etesim_gui_test\runs\run708\NotionalETEOutput708.xlsx
947,Missile_HIGHWIND_State_Update,MISSILE_HIGHWIND_400.MISSILE_HIGHWIND_400,HIGHWIND,157.142,199.001430304765,-94.60296386798939,1317.029779673929,-1492.209630043097,1356.588492437553,1202.408877642629,400,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_HELLMASKER_State_Update,MISSILE_HELLMASKER_73.MISSILE_HELLMASKER_73,HELLMASKER,157.142,163.9679229447482,-89.78994888577758,976.1883901996171,-1263.914528418697,1055.445275274865,1442.138945669703,73,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_BRAVER_State_Update,MISSILE_BRAVER_219.MISSILE_BRAVER_219,BRAVER,157.142,194.5795648949402,-118.1979874245498,742.1961236838071,-1436.098038249434,1392.345291783217,1908.652876474699,219,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
947,Missile_BRAVER_State_Update,MISSILE_BRAVER_113.MISSILE_BRAVER_113,BRAVER,157.142,290.932151824077,-98.82041253110428,621.0811442285064,-1889.65934518947,1523.805433750158,1094.042488827774,113,C:\Users\white\Documents\etesim_gui_test\runs\run947\NotionalETEOutput947.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_269.MISSILE_BRAVER_269,BRAVER,157.142,276.2481408506337,-76.20161744241307,1126.845569711403,-403.2155570084822,2105.918759204031,1921.199138976196,269,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_222.MISSILE_BRAVER_222,BRAVER,157.142,145.1201543541583,-99.69278756870527,990.4853021838887,-659.3333797685877,885.4272784022734,1250.620047399414,222,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_BRAVER_State_Update,MISSILE_BRAVER_117.MISSILE_BRAVER_117,BRAVER,157.142,120.7052764242905,-103.0446602010999,796.4776903728675,-1104.968336493221,2597.674667164302,1484.013911998512,117,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
954,Missile_SOMERSAULT_State_Update,MISSILE_SOMERSAULT_108.MISSILE_SOMERSAULT_108,SOMERSAULT,157.142,217.5822204761107,-99.96968911623955,808.7302928991427,-1980.665111145951,1948.426555217151,809.9931820981602,108,C:\Users\white\Documents\etesim_gui_test\runs\run954\NotionalETEOutput954.xlsx
